Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
166,2025,21/05/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de manter o transporte coletivo para a Vila São João com o trajeto realizado duas vezes por semana, como já vinha sendo feito. Muitos moradores utilizam essa condução para deslocamento até consultas médicas e...",Indicação nº 166/2025
165,2025,21/05/2025,Encaminhado,"Anderson Marcos Viana (Autor), Adriano de Marcos Lopes (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Reinaldo Codognato (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de convocar os vereadores para participarem das reuniões realizadas pelo Executivo Municipal sempre que os assuntos tratados forem relacionados a servidores públicos ou a temas que impactem diretamente o serviço...",Indicação nº 165/2025
164,2025,21/05/2025,Encaminhado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de promover a reforma e ampliação da Academia Municipal de Judô. A presente solicitação atende aos inúmeros apelos de pais de alunos, que apontam as condições inadequadas do espaço atual, tanto em termos...",Indicação nº 164/2025
163,2025,21/05/2025,Encaminhado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor), Edvaldo Aparecido Carvalho (Autor), Elizeu Adriano (Autor), Renato Vieira de Brito (Autor), Samir Edson Tino (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar o recapeamento da Rua Rui Barbosa, nos trechos entre a Rua Porto Alegre e a Avenida Latina, e também entre a Rua Recife e a Rua São Luiz. Solicitamos ainda o recapeamento da Rua General Osório, no...",Indicação nº 163/2025
162,2025,13/05/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de criar um programa esportivo voltado ao fornecimento de materiais como bolas, redes e outros itens essenciais aos times amadores existentes no município, com apoio da Comissão Municipal de Esportes (CME) e do...",Indicação nº 162/2025
161,2025,13/05/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de promover melhorias nas quadras de basquete localizadas nos bairros Jardim Alvorada, Jardim Esperança e no próprio Ginásio Municipal, especialmente com a substituição das tabelas e a pintura adequada das...",Indicação nº 161/2025
160,2025,13/05/2025,Encaminhado,"Bruno Herreira (Autor), Renato Vieira de Brito (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir um novo Centro Comunitário no Bairro Jardim dos Pássaros, considerando que o antigo espaço, anteriormente utilizado com essa finalidade, passou a abrigar a Escola Municipal de Ensino Infantil. A...",Indicação nº 160/2025
159,2025,13/05/2025,Encaminhado,Bruno Herreira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de permitir que os servidores públicos municipais possam, de forma opcional, autorizar o desconto direto em seu holerite para o pagamento de tributos municipais, como contas de água e IPTU. A medida visa...",Indicação nº 159/2025
158,2025,12/05/2025,Encaminhado,"Adriano de Marcos Lopes (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de instalar um ponto de ônibus coberto nas proximidades da Escola Estadual Prof. Idene Rodrigues dos Santos, para atender os alunos da própria unidade e da ETEC “Professora Carmelina Barbosa” que aguardam o...",Indicação nº 158/2025
157,2025,07/05/2025,Encaminhado,Reinaldo Codognato (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de disponibilizar sinal de Wi-Fi no Clube da Viola, por meio da instalação de um repetidor de sinal a partir do ponto já existente nas proximidades, como o instalado no recinto da Aceruva. A medida visa atender...",Indicação nº 157/2025
