Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
028,2024,09/10/2024,Encaminhado,Executivo (Autor),Solicitação de retirada do PL 62/2024,Solicitação de retirada do PL 62/2024
,,26/02/2024,Aprovado,Executivo (Autor),"Solicitação de retirada de Projetos de Leis n° 12, 13, 14, 15, 16 e 17/2024",Solicitação de retirada de Projeto
015,2023,05/10/2023,Encaminhado,Executivo (Autor),"Solicita a retirada do Projeto de Lei n° 52/2023 (Em observação ao §2° do Art. 173 do Regimento Interno da Câmara Municipal, o Presidente deferiu o pedido).",Solicitação de retirada de Projeto
012,2023,28/09/2023,Encaminhado,Executivo (Autor),"Através do presente solicitamos a Vossa Excelência os bons préstimos no sentido de devolver-nos o Projeto de Lei nó. 045/2023- Dispõe sobre alteração 110 artigo 154 da Lei 1.229 de 12 de dezembro de 1983 e dá outras providências, com sua respectiva mensagem; para maiores estudos do Poder Executivo.",Ofício solicitando retirada do Projeto de Lei n° 045-2023
001,2023,29/08/2023,Encaminhado,Executivo (Autor),Solicita retirada de Projeto do Lei Complementar n° 022/2023,Solicitação de retirada de Projeto
008,2023,04/01/2023,Encaminhado,Executivo (Autor),Solicitação de retirada do PLC 71-22,Solicitação de retirada do PLC 71-22
