Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
003,2023,08/02/2023,Aprovado,"Elio Furini Neto (Autor), Anderson Marcos Viana (Autor), Paulo Sérgio Cordeiro (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações acerca do encaminhamento de Projeto de Lei fixando o novo piso salarial dos Professores no Município de...",Requerimento n° 003/2023
002,2023,07/02/2023,Aprovado,Valdir Aparecido de Oliveira (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações acerca do estado atual e dos prazos de entrega da construção das 02 (duas) salas de aula nos CEIS (Centros...",Requerimento n° 002/2023
001,2023,06/01/2023,Aprovado,Elio Furini Neto (Autor),"Requerimento solicitando informações ao Poder Executivo sobre o percentual de despesas com pessoal no ano de 2022, bem como a quantidade de servidores convocados e nomeados pela Prefeitura Municipal nos anos de 2021 e 2022.",Requerimento nº 001/2023
020,2022,06/12/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de fornecer esta Casa de Leis, dentro do prazo legal, o Convênio, o Plano de Trabalho e a Prestação de Contas da Banda Municipal no Exercício de 2022,  incluindo informações...",Requerimento nº 020/2022
019,2022,10/11/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de informar esta Casa de Leis, dentro do prazo legal, o cronograma físico financeiro de reforma do Velório Municipal e da revitalização da Avenida 7 de Setembro, bem como o...",Requerimento nº 019/2022
018,2022,10/11/2022,Aprovado,Marisa Alves da Silva Costa (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de informar esta Casa de Leis, dentro do prazo legal, informações referentes aos gastos dos recursos oriundos da conta 105687-5, agência 0938-5, do Banco do Brasil, que tem como...",Requerimento nº 018/2022
017,2022,12/09/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de informar esta Casa de Leis, dentro do prazo legal, o andamento das atividades do Viveiro de Mudas Municipal. Tal indagação se justifica em razão do termo de colaboração...",Requerimento nº 017/2022
016,2022,25/08/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecida as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, no sentido de informar esta Casa de Leis, dentro do prazo legal, se a Lei Municipal nº 3507, de 20 de abril de 2022, que Dispõe sobre as normas de concessão e utilização do Colar de...",Requerimento nº 016/2022
015,2022,18/08/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecida as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, para que informe detalhadamente esta Casa de Leis dentro do prazo legal, se houve alguma mudança na forma como são calculadas as contas de água e esgoto no município. Em caso de resposta...",Requerimento nº 015/2022
014,2022,11/08/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecida as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, para que informe esta Casa de Leis dentro do prazo legal, a quantidade de prédios que estão alugados ao Poder Executivo Municipal e quais os valores desses alugueis, discriminando assim os...",Requerimento nº 014/2022
013,2022,11/08/2022,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecida as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, para que informe esta Casa de Leis dentro do prazo legal, quais providências estão sendo tomadas pela administração acerca da fiscalização no Conjunto Habitacional Residencial das Américas...",Requerimento nº 013/2022
012,2022,21/06/2022,Aprovado,Paulo Sérgio Cordeiro (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecida as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, para que informe esta Casa de Leis dentro do prazo legal, a quantidade de empregos gerados até o momento pelas empresas contempladas com lotes no Distrito Industrial 4, e se possível,...",Requerimento nº 012/2022
011,2022,15/06/2022,Aprovado,Elio Furini Neto (Autor),"Solicitando  informações complementares ao requerimento n. 04/22, que solicitou informações a respeito do calculo dos salários dos professores da Educação Básica I",Requerimento nº 011/2022
010,2022,15/06/2022,Aprovado,Anderson Marcos Viana (Autor),"Envio de ofício para que informe quais são os dentistas contratados por esta entidade, o local de trabalho deles, a carga horária semanal e a jornada de trabalho. Informe ainda, qual é o meio de controle da jornada de trabalho desses profissionais.",Requerimento nº 010/2022
009,2022,09/06/2022,Retirado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecida as formalidades regimentais, o envio de ofício ao Excelentíssimo Senhor Prefeito Municipal, para que, através do setor competente da Prefeitura Municipal, informe esta Casa de Leis dentro do prazo legal quais são os dentistas contratados por esta municipalidade, o local de...",Requerimento nº 009/2022
008,2022,04/05/2022,Aprovado,"Elio Furini Neto (Autor), Anderson Marcos Viana (Autor), Paulo Sérgio Cordeiro (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)",Envio de ofício informando quais medidas estão sendo adotadas para a prevenção e combate à dengue no nosso município,Requerimento nº 008/2022
007,2022,25/04/2022,Aprovado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)",Envio de ofício à Família Delalibera manifestando os sentimentos de todos os Vereadores desta Casa de Leis pelo falecimento do Senhor Raul Delalibera.,Requerimento nº 007/2022
006,2022,20/04/2022,Aprovado,Anderson Marcos Viana (Autor),"Envio de ofício informando em quais leis municipais, decretos ou atos normativos a administração se baseia para autorizar a prestação de serviços para terceiros com os maquinários e veículos de propriedade da Prefeitura Municipal",Requerimento nº 006/2022
005,2022,19/04/2022,Aprovado,Anderson Marcos Viana (Autor),Envio de ofício solicitando informações sobre a Banda Municipal.,Requerimento nº 005/2022
001,2022,18/04/2022,Aprovado,Anderson Marcos Viana (Autor),"Adiamento da discussão e votação. pelo prazo de 10 dias, do Projeto de Lei nº 10/2022 e dos Projetos de Leis Complementares nsº 023/2022 e 024/2022.",Pedido de adiamento de discussão e votação
004,2022,07/04/2022,Aprovado,"Elio Furini Neto (Autor), Anderson Marcos Viana (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Paulo Sérgio Cordeiro (Autor), Valdir Aparecido de Oliveira (Autor)",Envio de ofício para solicitar como esta sendo feito o cálculo dos salários dos Professores da Educação Básica I,Requerimento nº 004/2022
003,2022,28/03/2022,Aprovado,Anderson Marcos Viana (Autor),Envio de ofício para solicitar cópias do cartão de ponto do funcionário Senhor Maer Gumiero.,Requerimento nº 003/2022
002,2022,21/03/2022,Aprovado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor), Valdir Aparecido de Oliveira (Autor)","Envio de ofício para denominar o nome do saudoso Senhor, José Ulisses Silva Santos, falecido precocemente no dia 10 de junho de 2020, para a Penitenciária Estadual Masculina de Junqueirópolis.",Requerimento nº 002/2022
