Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
008,2023,09/02/2023,Encaminhado,"Teresinha de Lourdes Freitas Regodanso (Autor), Reinaldo Codognato (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar melhorias e reforma no Clube da Viola que se localiza nas dependências do recinto da Aceruva. Tal indicação se justifica em razão do mau estado que se encontra o ambiente, deteriorando os instrumentos...",Indicação n° 008/2023
007,2023,08/02/2023,Encaminhado,"Reinaldo Codognato (Autor), Marisa Alves da Silva Costa (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de implementar estacionamento 45 graus na Avenida Geraldo Fudo. Tal indicação se justifica em razão do aumento no número de prédios comerciais no referido local, fazendo com que os clientes e a população em geral...",Indicação n° 007/2023
006,2023,07/02/2023,Encaminhado,"Reinaldo Codognato (Autor), Valdir Aparecido de Oliveira (Autor), Sofia Rodrigues dos Santos (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir uma canaleta de captação de águas pluviais no encontro da Rua da Amora com a Rua do Caju. Tal indicação se justifica em razão de vários pedidos feitos por parte da população, que salientam a...",Indicação n° 006/2023
005,2023,07/02/2023,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de adequar os bancos da Rua Piauí, no Bairro Colina Verde, que se encontram muito degradados. Tal indicação se justifica em razão do referido local ser altamente frequentado por boa parte dos munícipes, uma vez que...",Indicação n° 005/2023
004,2023,07/02/2023,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar um ônibus coletivo que percorra os bairros do município. Tal indicação se justifica em razão do crescimento que o município teve durante os últimos anos, fazendo com que alguns moradores,...",Indicação n° 004/2023
003,2023,07/02/2023,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de adequar a iluminação disposta nos playgrounds dos Bairros Jardim Campo Belo e Jardim Primavera. Tal indicação se justifica em razão dos referidos locais serem constantemente frequentados por jovens e crianças,...",Indicação n° 003/2023
002,2023,02/02/2023,Encaminhado,"Anderson Marcos Viana (Autor), Valdir Aparecido de Oliveira (Autor), Elio Furini Neto (Autor), Marisa Alves da Silva Costa (Autor), Paulo Sérgio Cordeiro (Autor), Reinaldo Codognato (Autor), Rui Domingos da Silva (Autor), Sofia Rodrigues dos Santos (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","Indicamos ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar transporte escolar para os alunos que moram até 1350 metros ou menos em relação às escolas, durante os dias chuvosos ou de sol muito intenso. Tal indicação se justifica em razão das dificuldades...",Indicação n° 002/2023
001,2023,30/01/2023,Encaminhado,Elio Furini Neto (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de realizar um Campeonato de Férias no Ginásio de Esportes Cícero Gomes durante o recesso escolar de meio de ano para diversas modalidades além do futsal. Tal indicação se justifica em razão dos vários atletas...",Indicação n° 001/2023
166,2022,14/12/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de intensificar o combate dos casos de aparecimento de escorpiões, aranhas ou outros animais venenosos. Tal indicação se justifica em razão de diversas reclamações feitas por parte da população que alegam haver um...",Indicação nº 166/2022
165,2022,14/12/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de construir um sonorizador na Avenida Latina, próximo à curva do S. Tal indicação se justifica em razão dos benefícios que serão empregados no trânsito do local, uma vez que as ranhuras ou pequenas ondulações...",Indicação nº 165/2022
164,2022,08/12/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de providenciar ao menos uma sala para realizar atendimentos na área de fisioterapia no Bairro Alto Do Cene. Tal indicação se justifica em razão de todos os atendimentos estarem centralizados somente no Bairro Vila...",Indicação nº 164/2022
163,2022,08/12/2022,Encaminhado,Valdir Aparecido de Oliveira (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de conceder uma cesta de natal no valor de R$ 150 reais aos Servidores Públicos Municipais. Tal indicação se justifica em razão da necessidade em se valorizar o trabalho que vem sendo feito por estes Colaboradores...",Indicação nº 163/2022
162,2022,06/12/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, reforçando a indicação n° 181/2021, de autoria do Vereador Anderson Marcos Viana, que estude junto ao setor competente da administração, as possibilidades de entrar em contato com a Empresa Fumagalli Eletricidade, responsável pela troca de lâmpadas da iluminação pública de nossa cidade,...",Indicação nº 162/2022
161,2022,06/12/2022,Encaminhado,Anderson Marcos Viana (Autor),"Indico ao Excelentíssimo Senhor Prefeito Municipal, reforçando a indicação n° 170/2021, de autoria do Vereador Anderson Marcos Viana, que estude junto ao setor competente da administração, as possibilidades de realizar um serviço de drenagem visando o escoamento correto da água que fica constantemente parada na Rua Argentina, altura do...",Indicação nº 161/2022
160,2022,06/12/2022,Encaminhado,"Anderson Marcos Viana (Autor), Elio Furini Neto (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, que estude junto ao setor competente da administração, as possibilidades de disponibilizar um veterinário público a cada 15 dias para a população, fazendo uma espécie de mutirão para realizar atendimentos aos animais. O serviço visará atender à população de baixa renda, assistida por...",Indicação nº 160/2022
159,2022,01/12/2022,Encaminhado,"Elio Furini Neto (Autor), Anderson Marcos Viana (Autor)","Indico ao Excelentíssimo Senhor Prefeito Municipal, complementando a indicação n. 144/2022, que estude junto ao setor competente da administração, as possibilidades de implementar a devida iluminação tanto no campo sintético quanto na quadra de areia do Jardim Paulista. Tal indicação se justifica em razão de diversos pedidos feitos por...",Indicação nº 159/2022
